year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,9,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",120.00,6.00,4.18,0.00,1.82,0.00,0.00,0.00,2.00,130.00,95.00,0.00,35.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",90.00,10.00,6.38,0.00,2.62,0.00,1.00,0.00,1.00,482.00,362.00,0.00,84.00,0.00,36.00
2021,9,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",80.00,3.00,1.33,0.85,0.81,0.00,0.00,0.00,1.00,214.00,140.00,53.00,21.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",129.00,4.00,3.23,0.00,0.70,0.00,0.07,0.00,1.00,225.00,204.00,0.00,14.00,0.00,7.00
2021,9,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",100.00,10.00,5.01,0.57,3.64,0.00,0.79,0.00,0.00,780.00,164.00,300.00,80.00,0.00,236.00
2021,9,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3885.00,256.00,104.26,15.81,65.49,0.00,70.44,2.00,0.00,18423.00,9883.00,1227.00,2125.00,0.00,5188.00
2021,9,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",174.00,21.00,5.22,1.45,14.33,0.00,0.00,0.00,0.00,723.00,287.00,30.00,406.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",18.00,2.00,0.97,0.00,1.00,0.00,0.03,0.00,0.00,138.00,103.00,0.00,32.00,0.00,3.00
2021,9,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",110.00,5.00,2.95,0.00,2.05,0.00,0.00,0.00,0.00,152.00,96.00,0.00,56.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",52.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,57.00,41.00,0.00,16.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",17.00,2.00,1.09,0.00,0.91,0.00,0.00,0.00,0.00,267.00,173.00,0.00,94.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",44.00,3.00,1.85,0.69,0.46,0.00,0.00,1.00,0.00,231.00,60.00,114.00,57.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",111.00,14.00,8.49,0.00,4.63,0.00,0.89,0.00,0.00,687.00,508.00,0.00,146.00,0.00,33.00
2021,9,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",83.00,4.00,1.28,0.00,1.83,0.00,0.89,0.00,0.00,141.00,42.00,0.00,68.00,0.00,31.00
2021,9,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",53.00,8.00,2.57,0.51,1.55,0.00,3.38,0.00,0.00,1194.00,189.00,364.00,89.00,0.00,552.00
2021,9,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",80.00,5.00,4.94,0.00,0.06,0.00,0.00,0.00,0.00,221.00,216.00,0.00,5.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",90.00,5.00,2.93,1.00,1.07,0.00,0.00,0.00,2.00,145.00,99.00,23.00,23.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",120.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,65.00,33.00,0.00,32.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",147.00,6.00,1.00,1.96,3.04,0.00,0.00,0.00,0.00,1530.00,43.00,704.00,783.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",96.00,6.00,2.04,0.20,1.77,0.00,2.00,0.00,0.00,942.00,134.00,48.00,410.00,0.00,350.00
2021,9,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",18.00,2.00,1.90,0.00,0.00,0.00,0.10,0.00,0.00,90.00,85.00,0.00,0.00,0.00,5.00
2021,9,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
